iter	Passed	Remaining
248	16664	36875
249	16734	36816
250	16815	36779
251	16911	36774
252	16990	36734
253	17071	36696
254	17142	36637
255	17181	36509
256	17259	36467
257	17348	36445
258	17423	36394
259	17498	36343
260	17572	36290
261	17675	36294
262	17758	36259
263	17840	36221
264	17894	36126
265	17971	36077
266	18051	36034
267	18128	35987
268	18214	35955
269	18299	35921
270	18385	35888
271	18464	35843
272	18540	35791
273	18621	35748
274	18699	35699
275	18774	35644
276	18849	35588
277	18894	35478
278	18990	35462
279	19070	35417
280	19160	35388
281	19242	35345
282	19314	35284
283	19408	35263
284	19499	35236
285	19603	35231
286	19688	35192
287	19778	35161
288	19863	35121
289	19895	34989
290	19980	34949
291	20069	34914
292	20158	34882
293	20235	34827
294	20326	34796
295	20410	34753
296	20494	34709
297	20570	34651
298	20648	34598
299	20746	34577
300	20831	34534
301	20919	34496
302	21007	34457
303	21089	34409
304	21182	34377
305	21263	34327
306	21360	34301
307	21389	34167
308	21438	34066
309	21481	33955
310	21579	33929
311	21669	33892
312	21751	33843
313	21825	33780
314	21908	33732
315	21977	33662
316	22057	33608
317	22143	33564
318	22260	33565
319	22412	33618
320	22487	33556
321	22572	33508
322	22655	33457
323	22731	33394
324	22831	33368
325	22909	33310
326	22994	33261
327	23082	33216
328	23169	33169
329	23258	33125
330	23345	33079
331	23429	33027
332	23509	32969
333	23542	32846
334	23610	32772
335	23695	32722
336	23784	32676
337	23866	32622
338	23920	32528
339	24012	32487
340	24072	32402
341	24163	32359
342	24253	32314
343	24333	32255
344	24415	32200
345	24489	32133
346	24573	32080
347	24667	32039
348	24756	31992
349	24833	31929
350	24925	31884
351	25014	31836
352	25090	31771
353	25189	31736
354	25287	31698
355	25365	31635
356	25455	31587
357	25545	31539
358	25580	31423
359	25663	31365
360	25721	31279
361	25811	31229
362	25905	31186
363	26061	31216
364	26151	31166
365	26239	31114
366	26305	31035
367	26402	30993
368	26491	30942
369	26588	30899
370	26668	30837
371	26763	30791
372	26851	30738
373	26941	30687
374	27037	30642
375	27140	30604
376	27235	30558
377	27313	30492
378	27353	30384
379	27446	30336
380	27551	30298
381	27585	30185
382	27675	30131
383	27756	30069
384	27786	29951
385	27865	29886
386	27916	29791
387	28000	29732
388	28078	29666
389	28157	29601
390	28249	29549
391	28326	29482
392	28362	29373
393	28441	29307
394	28586	29310
395	28678	29257
396	28778	29213
397	29011	29302
398	29257	29403
399	29428	29428
400	29640	29492
401	29763	29467
402	29983	29536
403	30132	29535
404	30282	29534
405	30384	29486
406	30505	29456
407	30578	29379
408	30657	29308
409	30730	29231
410	30793	29145
411	30871	29073
412	30916	28969
413	31009	28912
414	31062	28816
415	31142	28746
416	31224	28678
417	31295	28599
418	31382	28536
419	31481	28483
420	31514	28370
421	31596	28302
422	31682	28237
423	31755	28160
424	31829	28084
425	31874	27983
426	31945	27905
427	32036	27844
428	32120	27777
429	32202	27709
430	32245	27607
431	32328	27539
432	32411	27470
433	32497	27406
434	32583	27339
435	32665	27270
436	32706	27168
437	32795	27104
438	32856	27018
439	32940	26951
440	33011	26873
441	33099	26809
442	33187	26744
443	33278	26682
444	33347	26602
445	33376	26491
446	33454	26419
447	33535	26349
448	33620	26282
449	33705	26215
450	33796	26153
451	33828	26044
452	33924	25986
453	34019	25926
454	34093	25851
455	34180	25784
456	34260	25714
457	34339	25642
458	34371	25534
459	34468	25476
460	34555	25410
461	34645	25346
462	34739	25285
463	34792	25194
464	34877	25126
465	34955	25053
466	35023	24973
467	35105	24903
468	35187	24834
469	35255	24753
470	35338	24684
471	35418	24612
472	35491	24536
473	35539	24442
474	35622	24373
475	35699	24299
476	35777	24226
477	35866	24161
478	35917	24069
479	35995	23997
480	36067	23919
481	36143	23845
482	36220	23772
483	36308	23705
484	36388	23633
485	36427	23535
486	36502	23460
487	36589	23393
488	36669	23321
489	36747	23248
490	36827	23176
491	36915	23109
492	37019	23052
493	37091	22975
494	37191	22915
495	37252	22832
496	37336	22762
497	37423	22694
498	37506	22624
499	37590	22554
500	37670	22482
501	37744	22405
502	37815	22328
503	37898	22257
504	37994	22194
505	38075	22123
506	38165	22056
507	38248	21985
508	38320	21908
509	38396	21833
510	38492	21769
511	38580	21701
512	38655	21625
513	38736	21553
514	38823	21484
515	38862	21389
516	39007	21352
517	39113	21293
518	39171	21208
519	39246	21132
520	39300	21045
521	39374	20969
522	39453	20896
523	39540	20826
524	39622	20754
525	39706	20683
526	39789	20611
527	39866	20537
528	39944	20463
529	40022	20388
530	40105	20316
531	40180	20241
532	40251	20163
533	40328	20088
534	40406	20014
535	40445	19920
536	40484	19827
537	40559	19751
538	40632	19675
539	40670	19582
540	40740	19504
541	40821	19431
542	40904	19360
543	40976	19282
544	41054	19208
545	41132	19134
546	41209	19060
547	41285	18985
548	41362	18910
549	41403	18819
550	41474	18742
551	41551	18668
552	41629	18593
553	41665	18501
554	41753	18431
555	41839	18361
556	41933	18294
557	42003	18216
558	42089	18146
559	42161	18069
560	42241	17995
561	42327	17925
562	42407	17851
563	42484	17777
564	42539	17693
565	42624	17622
566	42704	17548
567	42755	17463
568	42826	17386
569	42906	17313
570	42998	17244
571	43083	17173
572	43166	17100
573	43220	17017
574	43313	16948
575	43389	16873
576	43468	16799
577	43544	16724
578	43563	16627
579	43647	16555
580	43732	16484
581	43820	16413
582	43908	16343
583	43998	16273
584	44079	16200
585	44166	16129
586	44243	16054
587	44273	15962
588	44361	15891
589	44447	15820
590	44523	15745
591	44615	15675
592	44670	15593
593	44744	15517
594	44819	15442
595	44896	15367
596	44932	15278
597	45021	15208
598	45097	15133
599	45178	15059
600	45252	14983
601	45275	14891
602	45346	14814
603	45419	14738
604	45492	14662
605	45567	14587
606	45659	14517
607	45743	14445
608	45841	14377
609	45925	14304
610	46002	14229
611	46044	14144
612	46121	14069
613	46202	13996
614	46279	13921
615	46303	13830
616	46377	13755
617	46456	13681
618	46548	13611
619	46578	13522
620	46653	13447
621	46728	13372
622	46807	13298
623	46885	13224
624	46956	13147
625	47030	13072
626	47111	12998
627	47190	12924
628	47279	12853
629	47365	12781
630	47445	12707
631	47520	12632
632	47597	12557
633	47673	12482
634	47745	12406
635	47835	12334
636	47919	12261
637	47999	12187
638	48079	12113
639	48156	12039
640	48243	11966
641	48325	11893
642	48408	11819
643	48475	11742
644	48552	11667
645	48638	11595
646	48712	11519
647	48741	11433
648	48816	11357
649	48889	11282
650	48985	11211
651	49059	11136
652	49141	11062
653	49216	10987
654	49293	10912
655	49362	10835
656	49403	10752
657	49453	10672
658	49506	10592
659	49583	10517
660	49684	10448
661	49777	10376
662	49860	10302
663	49936	10227
664	50026	10155
665	50109	10082
666	50198	10009
667	50282	9936
668	50376	9864
669	50465	9791
670	50555	9719
671	50634	9644
672	50728	9572
673	50810	9498
674	50897	9425
675	50978	9351
676	51066	9278
677	51144	9202
678	51217	9127
679	51297	9052
680	51387	8979
681	51475	8906
682	51560	8832
683	51649	8759
684	51730	8684
685	51761	8601
686	51849	8528
687	51914	8451
688	51998	8377
689	52069	8300
690	52118	8221
691	52204	8147
692	52283	8072
693	52364	7997
694	52415	7918
695	52466	7839
696	52554	7766
697	52642	7692
698	52704	7615
699	52772	7538
700	52846	7463
701	52978	7395
702	53119	7329
703	53277	7265
704	53523	7212
705	53674	7146
706	53780	7074
707	54075	7026
708	54301	6969
709	54415	6897
710	54539	6827
711	54687	6759
712	54770	6683
713	54847	6606
714	54906	6527
715	55009	6453
716	55127	6381
717	55270	6312
718	55380	6238
719	55419	6157
720	55515	6082
721	55593	6005
722	55685	5930
723	55768	5854
724	55857	5778
725	55884	5696
726	55947	5617
727	56040	5542
728	56180	5471
729	56281	5396
730	56431	5326
731	56528	5251
732	56669	5179
733	56779	5105
734	56886	5030
735	56985	4955
736	57151	4885
737	57325	4815
738	57552	4750
739	57641	4673
740	57726	4596
741	57801	4518
742	57936	4444
743	58082	4371
744	58167	4294
745	58267	4217
746	58364	4141
747	58446	4063
748	58501	3983
749	58583	3905
750	58643	3826
751	58723	3748
752	58798	3670
753	58888	3592
754	58966	3514
755	59054	3437
756	59147	3359
757	59205	3280
758	59298	3203
759	59385	3125
760	59469	3047
761	59548	2969
762	59619	2891
763	59702	2813
764	59783	2735
765	59834	2655
766	59911	2577
767	59986	2499
768	60066	2421
769	60150	2343
770	60225	2265
771	60328	2188
772	60405	2109
773	60477	2031
774	60566	1953
775	60638	1875
776	60716	1797
777	60796	1719
778	60887	1641
779	60967	1563
780	61049	1485
781	61127	1407
782	61202	1328
783	61292	1250
784	61374	1172
785	61453	1094
786	61533	1016
787	61609	938
788	61646	859
789	61741	781
790	61845	703
791	61930	625
792	62022	547
793	62109	469
794	62187	391
795	62274	312
796	62366	234
797	62454	156
798	62493	78
799	62544	0
