iter	Accuracy	MultiClass
0	1	1.002288189
1	1	0.9202347977
2	1	0.848306322
3	1	0.7838363924
4	1	0.7263942512
5	1	0.6751222099
6	1	0.631179631
7	1	0.5921653443
8	1	0.5544922984
9	1	0.519274597
10	1	0.4866468624
11	1	0.456390081
12	1	0.4284784019
13	1	0.4049526471
14	1	0.3810502531
15	1	0.359210821
16	1	0.3387019575
17	1	0.3192707621
18	1	0.3017533127
19	1	0.2847870507
20	1	0.2689228452
21	1	0.2549131236
22	1	0.2416352208
23	1	0.2284909265
24	1	0.2163304945
25	1	0.204728462
26	1	0.1938207049
27	1	0.1836169058
28	1	0.1748650109
29	1	0.1658612692
30	1	0.1580752873
31	1	0.1506148368
32	1	0.1428406432
33	1	0.1355031445
34	1	0.1290394074
35	1	0.1226107323
36	1	0.1165219902
37	1	0.1106377138
38	1	0.1050732301
39	1	0.09993695358
40	1	0.09506333436
41	1	0.09059731168
42	1	0.08678469056
43	1	0.08283004776
44	1	0.07881734403
45	1	0.07566660293
46	1	0.07246947016
47	1	0.06950166718
48	1	0.06679819362
49	1	0.06362338887
50	1	0.0608883258
51	1	0.05809168136
52	1	0.05584292925
53	1	0.05342696361
54	1	0.05090226542
55	1	0.04880502982
56	1	0.04651330096
57	1	0.04459269585
58	1	0.04287725516
59	1	0.04094738619
60	1	0.03924084289
61	1	0.03771150149
62	1	0.03599853456
63	1	0.03464763838
64	1	0.03304415789
65	1	0.03158570406
66	1	0.03018165095
67	1	0.02883834404
68	1	0.0277148278
69	1	0.02663420072
70	1	0.02561764009
71	1	0.02465605585
72	1	0.02365664942
73	1	0.02265930191
74	1	0.02180752319
75	1	0.02096261392
76	1	0.02043371632
77	1	0.01966983303
78	1	0.01903516791
79	1	0.01823483228
80	1	0.01767457138
81	1	0.01703694556
82	1	0.01635558578
83	1	0.01572980258
84	1	0.01519177709
85	1	0.01476002199
86	1	0.0142835823
87	1	0.01374448634
88	1	0.01330679669
89	1	0.0128865338
90	1	0.01241356286
91	1	0.0119900587
92	1	0.01152979592
93	1	0.01114100198
94	1	0.01075320902
95	1	0.01042379954
96	1	0.01006881807
97	1	0.009786950324
98	1	0.009491670076
99	1	0.009200842502
100	1	0.008904710353
101	1	0.008694830543
102	1	0.008478691727
103	1	0.008186539077
104	1	0.007927778217
105	1	0.007690894516
106	1	0.007454169717
107	1	0.007245582931
108	1	0.007019257145
109	1	0.006798415204
110	1	0.006606861697
111	1	0.006488432571
112	1	0.006306048852
113	1	0.006135375991
114	1	0.005990737345
115	1	0.005855378589
116	1	0.005706929082
117	1	0.005550297988
118	1	0.005414954083
119	1	0.00528201395
120	1	0.005165280153
121	1	0.005090968592
122	1	0.004950743825
123	1	0.004845523992
124	1	0.004747190818
125	1	0.004660587046
126	1	0.004547678226
127	1	0.004485926181
128	1	0.004424688624
129	1	0.004323856243
130	1	0.00424556102
131	1	0.00415743735
132	1	0.004063832093
133	1	0.003976107191
134	1	0.00389375903
135	1	0.00384384013
136	1	0.003782322276
137	1	0.003707211772
138	1	0.003655541753
139	1	0.003591701077
140	1	0.003520351783
141	1	0.00344928389
142	1	0.003391775158
143	1	0.00332814159
144	1	0.003288137749
145	1	0.00323175193
146	1	0.003177927439
147	1	0.003125476904
148	1	0.003069764061
149	1	0.003020902483
150	1	0.00297548958
151	1	0.002925381352
152	1	0.002888163187
153	1	0.00284121643
154	1	0.002798542045
155	1	0.002757282907
156	1	0.00271632676
157	1	0.002696113557
158	1	0.002657526039
159	1	0.002620788138
160	1	0.002578053901
161	1	0.002524993237
162	1	0.002488561035
163	1	0.002463104058
164	1	0.002426102666
165	1	0.002393867962
166	1	0.002360678303
167	1	0.002326620206
168	1	0.002301377368
169	1	0.002270306653
170	1	0.002243657844
171	1	0.00221476472
172	1	0.002187955189
173	1	0.002170362737
174	1	0.002146845106
175	1	0.002122578265
176	1	0.002093771679
177	1	0.00207053882
178	1	0.0020691993
179	1	0.002046295994
180	1	0.002031078052
181	1	0.002011698445
182	1	0.002010825612
183	1	0.001987858797
184	1	0.001969383161
185	1	0.001951147046
186	1	0.001929780681
187	1	0.001908569637
188	1	0.001890068563
189	1	0.001866886167
190	1	0.001848644194
191	1	0.00183108105
192	1	0.001812969914
193	1	0.001799159329
194	1	0.001779383107
195	1	0.001762880812
196	1	0.001748216899
197	1	0.001731175681
198	1	0.001715644358
199	1	0.001700420657
200	1	0.001679256052
201	1	0.001665814101
202	1	0.001651772695
203	1	0.001635241005
204	1	0.001620702806
205	1	0.001604477721
206	1	0.001590866919
207	1	0.001578178796
208	1	0.001566293689
209	1	0.001553558643
210	1	0.00154151141
211	1	0.001529815226
212	1	0.00152034335
213	1	0.001511141374
214	1	0.001499442464
215	1	0.00148864288
216	1	0.001487970354
217	1	0.001480532261
218	1	0.001479954398
219	1	0.001469496961
220	1	0.001459384152
221	1	0.001448021525
222	1	0.001435015852
223	1	0.001426109891
224	1	0.001416683007
225	1	0.00140062274
226	1	0.001396283935
227	1	0.001386339886
228	1	0.00137695826
229	1	0.001366146063
230	1	0.001358011527
231	1	0.001345344425
232	1	0.001335936854
233	1	0.001328757048
234	1	0.00132119808
235	1	0.001311722568
236	1	0.001305020574
237	1	0.001296234916
238	1	0.001290052091
239	1	0.001289659283
240	1	0.001281872021
241	1	0.00127583021
242	1	0.001266193862
243	1	0.001265750278
244	1	0.001256529154
245	1	0.001247417893
246	1	0.00123985786
247	1	0.001233155191
248	1	0.001222988498
249	1	0.001222545558
250	1	0.001222009045
251	1	0.001216203528
252	1	0.001209081865
253	1	0.001201875582
254	1	0.001195275341
255	1	0.001190086227
256	1	0.001185537267
257	1	0.001178737578
258	1	0.001171739375
259	1	0.001165365222
260	1	0.001157903114
261	1	0.001152084776
262	1	0.001145822375
263	1	0.001139550467
264	1	0.001134108031
265	1	0.001128586334
266	1	0.001123121162
267	1	0.001117663825
268	1	0.001114740509
269	1	0.001111371772
270	1	0.001107286062
271	1	0.001100706423
272	1	0.001095272084
273	1	0.001090876766
274	1	0.001085372884
275	1	0.001079093258
276	1	0.001073437001
277	1	0.001066185827
278	1	0.001065619465
279	1	0.001065241469
280	1	0.001061538942
281	1	0.001056574201
282	1	0.001056087389
283	1	0.001051560486
284	1	0.001051156822
285	1	0.001045890541
286	1	0.001045553384
287	1	0.001040231442
288	1	0.001039936372
289	1	0.001033189412
290	1	0.001027153558
291	1	0.001022390748
292	1	0.001017009702
293	1	0.001014330442
294	1	0.001011052731
295	1	0.001006501729
296	1	0.00100330646
297	1	0.0009991822704
298	1	0.0009940424786
299	1	0.0009899622331
300	1	0.0009861686817
301	1	0.0009858749955
302	1	0.0009823401775
303	1	0.0009784545318
304	1	0.000975874759
305	1	0.0009718869302
306	1	0.0009675293226
307	1	0.0009672599483
308	1	0.0009668311777
309	1	0.0009618907096
310	1	0.0009582441451
311	1	0.0009556177423
312	1	0.0009516107453
313	1	0.0009481436064
314	1	0.0009448049508
315	1	0.000941611202
316	1	0.0009381729738
317	1	0.0009334940853
318	1	0.0009298308047
319	1	0.0009261464084
320	1	0.0009219494443
321	1	0.0009182894848
322	1	0.0009160895305
323	1	0.0009139372784
324	1	0.0009136849557
325	1	0.0009098638654
326	1	0.0009064417257
327	1	0.0009032615001
328	1	0.0009011855395
329	1	0.0008992455509
330	1	0.0008967996072
331	1	0.000894855725
332	1	0.0008926257818
333	1	0.0008884763008
334	1	0.000888158419
335	1	0.0008849157003
336	1	0.0008833651466
337	1	0.0008813822986
338	1	0.0008810864375
339	1	0.0008784750249
340	1	0.0008738203587
341	1	0.0008718495654
342	1	0.00086917215
343	1	0.0008656071424
344	1	0.0008624586066
345	1	0.0008595132481
346	1	0.0008568894681
347	1	0.0008537409764
348	1	0.0008507169556
349	1	0.0008486885663
350	1	0.0008459377221
351	1	0.0008432155339
352	1	0.0008429291325
353	1	0.0008407827533
354	1	0.0008382057865
355	1	0.0008354185448
356	1	0.0008340722911
357	1	0.0008310954265
358	1	0.0008309082268
359	1	0.0008306302752
360	1	0.0008270029886
361	1	0.0008245443756
362	1	0.0008222426876
363	1	0.0008195011703
364	1	0.0008167571782
365	1	0.0008143194383
366	1	0.000811948756
367	1	0.0008086274995
368	1	0.0008062032142
369	1	0.0008034144501
370	1	0.0008013812959
371	1	0.0007997769726
372	1	0.0007977525254
373	1	0.0007959333443
374	1	0.0007944155486
375	1	0.00079188824
376	1	0.0007893877679
377	1	0.0007890840116
378	1	0.0007859227947
379	1	0.0007836439592
380	1	0.0007813303097
381	1	0.0007810718758
382	1	0.0007792767274
383	1	0.0007769080946
384	1	0.0007735882604
385	1	0.000770946275
386	1	0.0007680358026
387	1	0.0007663738311
388	1	0.0007661333337
389	1	0.0007634460868
390	1	0.0007605915621
391	1	0.0007589350349
392	1	0.000756720813
393	1	0.0007545832261
394	1	0.0007520759362
395	1	0.0007493999261
396	1	0.0007478167402
397	1	0.0007450749531
398	1	0.0007424491293
399	1	0.0007403485363
